"","event","secondary_type","event_team","event_team_type","description","period","period_seconds","home_score","away_score","event_player_1_name","event_player_2_name","strength_state","strength_code","event_idx","x","y","x_fixed","y_fixed","shot_distance","shot_angle","game_id","event_player_1_id","event_player_2_id","event_player_2_link","period_type","event_team_id","event_team_abbr","home_final","away_final","season","venue_name","home_abbreviation","away_abbreviation","home_goalie","away_goalie"
"475","Shot","Penalty Shot","St. Louis Blues","away","Ivan Barbashev Wrist Shot saved by Marc-Andre Fleury",1,230,0,0,"Ivan.Barbashev","Marc.Andre.Fleury","4v5","SH","0058",69,4,-69,-4,20.4,11.3,2021030161,8477964,8470594,"/api/v1/people/8470594","REGULAR",19,"STL",0,4,"20212022","Xcel Energy Center","MIN","STL","Marc.Andre.Fleury","Ville.Husso"
"476","Goal","Penalty Shot","Calgary Flames","away","Johnny Gaudreau (1) Backhand, assists: none",3,467,0,2,"Johnny.Gaudreau","Jake.Oettinger","5v5","EV","0706",82,-2,-82,2,7.3,15.9,2021030174,8476346,8479979,"/api/v1/people/8479979","REGULAR",20,"CGY",1,4,"20212022","American Airlines Center","DAL","CGY","Jake.Oettinger","Jacob.Markstrom"
"477","Shot","Penalty Shot","Toronto Maple Leafs","away","Alexander Kerfoot Snap Shot saved by Jake Allen",2,1040,2,2,"Alexander.Kerfoot","Jake.Allen","5v5","EV","0497",-77,0,-77,0,12,0,2022020007,8477021,8474596,"/api/v1/people/8474596","REGULAR",10,"TOR",4,3,"20222023","Centre Bell","MTL","TOR","Jake.Allen","Matt.Murray"
"478","Shot","Penalty Shot","Vegas Golden Knights","away","Chandler Stephenson Wrist Shot saved by Martin Jones",2,277,0,2,"Chandler.Stephenson","Martin.Jones","5v5","EV","0319",68,-2,-68,2,21.1,5.4,2022020037,8476905,8474889,"/api/v1/people/8474889","REGULAR",54,"VGK",2,5,"20222023","Climate Pledge Arena","SEA","VGK","Martin.Jones","Adin.Hill"
"479","Goal","Penalty Shot","Montréal Canadiens","home","Nick Suzuki (3) Wrist Shot, assists: none",2,1107,5,0,"Nick.Suzuki","Connor.Ingram","4v5","SH","0494",80,3,80,3,9.5,18.4,2022020060,8480018,8478971,"/api/v1/people/8478971","REGULAR",8,"MTL",6,2,"20222023","Centre Bell","MTL","ARI","Jake.Allen","Connor.Ingram"
"480","Goal","Penalty Shot","Chicago Blackhawks","home","Andreas Athanasiou (1) Snap Shot, assists: none",2,341,1,2,"Andreas.Athanasiou","Alex.Nedeljkovic","5v5","EV","0335",76,1,76,1,13,4.4,2022020072,8476960,8477968,"/api/v1/people/8477968","REGULAR",16,"CHI",4,3,"20222023","United Center","CHI","DET","Petr.Mrazek","Alex.Nedeljkovic"
"481","Shot","Penalty Shot","Montréal Canadiens","home","Mike Hoffman Wrist Shot saved by Marc-Andre Fleury",3,350,1,2,"Mike.Hoffman","Marc.Andre.Fleury","5v5","EV","0561",-76,0,76,0,13,0,2022020101,8474884,8470594,"/api/v1/people/8470594","REGULAR",8,"MTL",1,3,"20222023","Centre Bell","MTL","MIN","Jake.Allen","Marc.Andre.Fleury"
"482","Goal","Penalty Shot","Boston Bruins","away","Brad Marchand (4) Backhand, assists: none",2,299,1,1,"Brad.Marchand","Ilya.Samsonov","5v4","PP","0388",-78,7,-78,7,13,32.5,2022020179,8473419,8478492,"/api/v1/people/8478492","REGULAR",6,"BOS",2,1,"20222023","Scotiabank Arena","TOR","BOS","Ilya.Samsonov","Linus.Ullmark"
"483","Goal","Penalty Shot","Anaheim Ducks","home","Isac Lundestrom (1) Backhand, assists: none",3,1126,3,4,"Isac.Lundestrom","Spencer.Knight","4v5","SH","0757",78,-2,78,-2,11.2,10.3,2022020192,8480806,8481519,"/api/v1/people/8481519","REGULAR",24,"ANA",3,5,"20222023","Honda Center","ANA","FLA","John.Gibson","Spencer.Knight"
"484","Shot","Penalty Shot","Detroit Red Wings","home","Dylan Larkin Wrist Shot saved by Jake Allen",1,772,0,1,"Dylan.Larkin","Jake.Allen","4v5","SH","0155",-83,12,83,-12,13.4,63.4,2022020203,8477946,8474596,"/api/v1/people/8474596","REGULAR",17,"DET",2,2,"20222023","Little Caesars Arena","DET","MTL","Ville.Husso","Jake.Allen"
"485","Missed Shot","Penalty Shot","Edmonton Oilers","away","Dylan Holloway Wide of Net Pyotr Kochetkov",1,559,0,0,"Dylan.Holloway","Pyotr.Kochetkov","5v5","EV","0121",82,-4,-82,4,8.1,29.7,2022020212,8482077,8481611,"/api/v1/people/8481611","REGULAR",22,"EDM",7,2,"20222023","PNC Arena","CAR","EDM","Pyotr.Kochetkov","Jack.Campbell"
"486","Goal","Penalty Shot","Vegas Golden Knights","away","Mark Stone (6) Snap Shot, assists: none",2,249,1,2,"Mark.Stone","Stuart.Skinner","5v5","EV","0308",74,1,-74,-1,15,3.8,2022020287,8475913,8479973,"/api/v1/people/8479973","REGULAR",54,"VGK",4,3,"20222023","Rogers Place","EDM","VGK","Stuart.Skinner","Adin.Hill"
"487","Shot","Penalty Shot","Dallas Stars","home","Jamie Benn Backhand saved by Anthony Stolarz",3,1051,5,0,"Jamie.Benn","Anthony.Stolarz","5v5","EV","0726",-81,2,81,-2,8.2,14,2022020371,8473994,8476932,"/api/v1/people/8476932","REGULAR",25,"DAL",5,0,"20222023","American Airlines Center","DAL","ANA","Jake.Oettinger","Anthony.Stolarz"
"488","Shot","Penalty Shot","Pittsburgh Penguins","home","Teddy Blueger Wrist Shot saved by Elvis Merzlikins",2,853,3,1,"Teddy.Blueger","Elvis.Merzlikins","5v5","EV","0439",-70,5,70,-5,19.6,14.7,2022020404,8476927,8478007,"/api/v1/people/8478007","REGULAR",5,"PIT",4,1,"20222023","PPG Paints Arena","PIT","CBJ","Tristan.Jarry","Elvis.Merzlikins"
"489","Shot","Penalty Shot","Columbus Blue Jackets","home","Gustav Nyquist Wrist Shot saved by Ukko-Pekka Luukkonen",2,75,0,6,"Gustav.Nyquist","Ukko.Pekka.Luukkonen","5v5","EV","0256",-70,0,70,0,19,0,2022020412,8474679,8480045,"/api/v1/people/8480045","REGULAR",29,"CBJ",4,9,"20222023","Nationwide Arena","CBJ","BUF","Elvis.Merzlikins","Ukko.Pekka.Luukkonen"
"490","Goal","Penalty Shot","Washington Capitals","away","Marcus Johansson (7) Backhand, assists: none",2,595,0,3,"Marcus.Johansson","Connor.Hellebuyck","4v5","SH","0368",-73,0,-73,0,16,0,2022020446,8475149,8476945,"/api/v1/people/8476945","REGULAR",15,"WSH",2,5,"20222023","Canada Life Centre","WPG","WSH","Connor.Hellebuyck","Charlie.Lindgren"
"491","Goal","Penalty Shot","Carolina Hurricanes","home","Stefan Noesen (4) Slap Shot, assists: none",2,128,3,0,"Stefan.Noesen","Philipp.Grubauer","5v5","EV","0275",76,2,76,2,13.2,8.7,2022020475,8476474,8475831,"/api/v1/people/8475831","REGULAR",12,"CAR",3,2,"20222023","PNC Arena","CAR","SEA","Pyotr.Kochetkov","Philipp.Grubauer"
"492","Shot","Penalty Shot","Seattle Kraken","home","Brandon Tanev Wrist Shot saved by Thomas Greiss",3,196,4,0,"Brandon.Tanev","Thomas.Greiss","0v0","EV","0545",81,4,81,4,8.9,26.6,2022020515,8479293,8471306,"/api/v1/people/8471306","REGULAR",55,"SEA",5,2,"20222023","Climate Pledge Arena","SEA","STL",NA,NA
"493","Shot","Penalty Shot","Toronto Maple Leafs","away","TJ Brodie Wrist Shot saved by Jordan Binnington",4,84,4,4,"TJ.Brodie","Jordan.Binnington","3v3","EV","0746",73,6,-73,-6,17.1,20.6,2022020553,8474673,8476412,"/api/v1/people/8476412","OVERTIME",10,"TOR",4,5,"20222023","Enterprise Center","STL","TOR","Jordan.Binnington","Ilya.Samsonov"
"494","Goal","Penalty Shot","Winnipeg Jets","home","Pierre-Luc Dubois (17) Wrist Shot, assists: none",2,942,2,1,"Pierre.Luc.Dubois","Collin.Delia","5v5","EV","0429",72,-4,72,-4,17.5,13.2,2022020570,8479400,8480420,"/api/v1/people/8480420","REGULAR",52,"WPG",4,2,"20222023","Canada Life Centre","WPG","VAN","Connor.Hellebuyck","Collin.Delia"
